aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-006b26b58a43,Hong Kong,gated,MCGC_model_prediction,0.6113,low,<5k_m2,<1,0,0,yes,yes
GBA-10-007814e68f40,Hong Kong,open,MCGC_model_prediction,0.0601,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-007a1befd8ef,Hong Kong,open,MCGC_model_prediction,0.0917,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-007b9a674322,Hong Kong,open,MCGC_model_prediction,0.0047,very_high,<5k_m2,1_2,0,0,yes,yes
GBA-10-0080af750bbd,Hong Kong,open,MCGC_model_prediction,0.0429,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0081e5bc5196,Hong Kong,open,MCGC_model_prediction,0.1659,medium,<5k_m2,>=8,0,0,yes,yes
GBA-10-008988cec882,Hong Kong,gated,MCGC_model_prediction,0.5342,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-008c0ca26143,Hong Kong,open,MCGC_model_prediction,0.1349,high,<5k_m2,<1,0,0,yes,yes
GBA-10-0096b7983c8a,Hong Kong,open,MCGC_model_prediction,0.0116,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-009b47b6d31e,Hong Kong,open,MCGC_model_prediction,0.0243,very_high,<5k_m2,2_4,0,0,yes,yes
GBA-10-009ef6e7da3b,Hong Kong,gated,MCGC_model_prediction,0.9490,high,10k_25k_m2,<1,0,0,yes,yes
GBA-10-009ff568aca3,Hong Kong,open,MCGC_model_prediction,0.0480,very_high,<5k_m2,>=8,>=0.005,1_2,yes,yes
GBA-10-00adbaf49b4e,Hong Kong,open,MCGC_model_prediction,0.2114,medium,<5k_m2,4_8,0,0,yes,yes
GBA-10-00b345331e90,Hong Kong,open,MCGC_model_prediction,0.3509,low,<5k_m2,4_8,0.001_0.002,3_5,yes,yes
GBA-10-00c73b4d02c2,Hong Kong,open,MCGC_model_prediction,0.1371,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-00d00b0d6253,Hong Kong,gated,MCGC_model_prediction,0.9903,very_high,10k_25k_m2,<1,0,0,yes,yes
