aoi_id,city,centroid_lon,centroid_lat,area_m2,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-010404ad8113,Hong Kong,114.139044,22.287703,830.34,open,MCGC_model_prediction,0.3502,low,<5k_m2,<1,0.001_0.002,1_2,yes,yes
GBA-10-010420229693,Hong Kong,114.177941,22.271762,1600.79,open,MCGC_model_prediction,0.1273,high,<5k_m2,2_4,0,0,yes,yes
GBA-10-010cb5024703,Hong Kong,114.188208,22.323954,658.72,open,MCGC_model_prediction,0.0156,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-01192e879f42,Hong Kong,114.188130,22.306284,27386.69,gated,MCGC_model_prediction,0.8749,high,25k_50k_m2,4_8,0.001_0.002,>5,yes,yes
GBA-10-012ca9637018,Hong Kong,114.190371,22.287205,3724.78,open,MCGC_model_prediction,0.2603,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-0141756a6eba,Hong Kong,114.107885,22.342332,23723.48,gated,MCGC_model_prediction,0.5583,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-0142360f7743,Hong Kong,114.184919,22.277781,312.76,open,MCGC_model_prediction,0.2983,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-014a214a6f85,Hong Kong,114.251251,22.364244,159151.86,open,MCGC_model_prediction,0.4354,low,>=100k_m2,<1,0,0,yes,yes
GBA-10-014f65920ab9,Hong Kong,114.197216,22.400123,2486.29,open,MCGC_model_prediction,0.0468,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01540aed0d2f,Hong Kong,114.227063,22.335877,2491.35,gated,MCGC_model_prediction,0.9518,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01556fe25f81,Hong Kong,114.221144,22.282047,218.29,open,MCGC_model_prediction,0.0059,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-016a0de1fc60,Hong Kong,113.980152,22.463893,148.60,open,MCGC_model_prediction,0.0049,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-016e13a82d0b,Hong Kong,114.185457,22.327563,754.84,open,MCGC_model_prediction,0.0130,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-01722fb9fbba,Hong Kong,114.220500,22.283203,202.57,open,MCGC_model_prediction,0.3048,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-01751266397d,Hong Kong,114.020441,22.360709,508.35,open,MCGC_model_prediction,0.0063,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0178064397ef,Hong Kong,114.154240,22.268296,669.80,open,MCGC_model_prediction,0.3969,low,<5k_m2,2_4,0,0,yes,yes
GBA-10-01795621bd4c,Hong Kong,114.198097,22.420873,1640.15,open,MCGC_model_prediction,0.0104,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-018284a0822a,Hong Kong,114.237802,22.317285,72571.86,gated,MCGC_model_prediction,0.9761,very_high,50k_100k_m2,2_4,0_0.0005,3_5,yes,yes
GBA-10-0187bf203429,Hong Kong,114.163924,22.453753,4250.98,gated,MCGC_model_prediction,0.8465,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-018c1016251f,Hong Kong,114.200015,22.291706,247.93,open,MCGC_model_prediction,0.4177,low,<5k_m2,<1,>=0.005,1_2,yes,yes
GBA-10-019c1994a0e0,Hong Kong,114.191651,22.239453,7802.73,gated,MCGC_model_prediction,0.6672,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-01a136aec4ac,Hong Kong,113.951733,22.438807,123.36,open,MCGC_model_prediction,0.0074,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01a5b20e8b82,Hong Kong,114.230196,22.277380,174.42,open,MCGC_model_prediction,0.3586,low,<5k_m2,<1,0,0,yes,yes
GBA-10-01a84af52148,Hong Kong,114.116364,22.373062,1059.07,open,MCGC_model_prediction,0.2529,medium,<5k_m2,4_8,0,0,yes,yes
GBA-10-01afcf074e85,Hong Kong,114.191410,22.257578,2764.48,gated,MCGC_model_prediction,0.9313,high,<5k_m2,<1,0,0,yes,yes
GBA-10-01b28e9984f9,Hong Kong,114.206981,22.462569,2115.05,open,MCGC_model_prediction,0.0412,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01b426031d59,Hong Kong,114.026072,22.213932,874.39,open,MCGC_model_prediction,0.1390,high,<5k_m2,<1,0,0,yes,yes
GBA-10-01ba095e7b3f,Hong Kong,113.966568,22.395650,613.12,open,MCGC_model_prediction,0.0063,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-01d1ea9f8a14,Hong Kong,113.976533,22.384196,49783.30,gated,MCGC_model_prediction,0.9816,very_high,25k_50k_m2,2_4,0,0,yes,yes
GBA-10-01d44db95d13,Hong Kong,114.154001,22.267308,4670.75,gated,MCGC_model_prediction,0.8350,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-01d6fbe28bc7,Hong Kong,114.020475,22.421759,714.04,open,MCGC_model_prediction,0.0309,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01dc4db91634,Hong Kong,114.264651,22.315609,15277.16,gated,MCGC_model_prediction,0.9300,high,10k_25k_m2,4_8,0_0.0005,1_2,yes,yes
GBA-10-01df671a315a,Hong Kong,114.024996,22.203214,3125.21,open,MCGC_model_prediction,0.0076,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01df803a0616,Hong Kong,113.980097,22.464827,142.67,open,MCGC_model_prediction,0.0054,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01e1058e1881,Hong Kong,113.989814,22.414920,5895.15,open,MCGC_model_prediction,0.4969,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-01eea99f2663,Hong Kong,113.980325,22.422886,820.47,open,MCGC_model_prediction,0.0060,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01fc8e3a299e,Hong Kong,114.122423,22.367737,4643.05,open,MCGC_model_prediction,0.0847,high,<5k_m2,<1,0,0,yes,yes
GBA-10-0204ed64a420,Hong Kong,114.052144,22.443392,770.91,open,MCGC_model_prediction,0.0983,high,<5k_m2,<1,0,0,yes,yes
GBA-10-020d5b5fe7a1,Hong Kong,114.184264,22.327409,613.72,open,MCGC_model_prediction,0.0095,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-020f5eceeae1,Hong Kong,114.169255,22.314488,229.56,open,MCGC_model_prediction,0.0343,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-021d93206223,Hong Kong,114.183128,22.306883,551.17,open,MCGC_model_prediction,0.1392,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-022797cf9ac2,Hong Kong,114.222641,22.411860,14146.96,gated,MCGC_model_prediction,0.9649,very_high,10k_25k_m2,2_4,0,0,yes,yes
GBA-10-023a0a737bc4,Hong Kong,114.159177,22.328553,383.45,open,MCGC_model_prediction,0.1290,high,<5k_m2,4_8,0,0,yes,yes
GBA-10-023be4b951a5,Hong Kong,114.180143,22.333803,537.22,open,MCGC_model_prediction,0.0401,very_high,<5k_m2,4_8,0,0,yes,yes
GBA-10-025b728e0c7f,Hong Kong,114.192427,22.285482,475.55,open,MCGC_model_prediction,0.0445,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-025de1a2e7e9,Hong Kong,113.993518,22.448421,2038.08,open,MCGC_model_prediction,0.4662,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02600b52e1bf,Hong Kong,114.180161,22.325747,688.41,open,MCGC_model_prediction,0.0117,very_high,<5k_m2,4_8,0,0,yes,yes
GBA-10-026d090cebda,Hong Kong,114.016901,22.437871,14125.87,open,MCGC_model_prediction,0.3131,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-0279670d0af2,Hong Kong,113.980401,22.462237,218.97,open,MCGC_model_prediction,0.0068,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-027a7c2afef4,Hong Kong,114.197285,22.292091,491.53,open,MCGC_model_prediction,0.0433,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-027be3178558,Hong Kong,114.078102,22.424025,1063.84,open,MCGC_model_prediction,0.0155,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02851129aa20,Hong Kong,114.176787,22.340517,1918.36,open,MCGC_model_prediction,0.2263,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-028e058a60da,Hong Kong,114.203525,22.405405,2006.99,gated,MCGC_model_prediction,0.5461,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02952120431c,Hong Kong,114.000078,22.434519,5899.65,gated,MCGC_model_prediction,0.9700,very_high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-02b19c7aec93,Hong Kong,114.242871,22.505813,616.53,open,MCGC_model_prediction,0.0162,very_high,<5k_m2,<1,0,0,yes,yes
