city,total_aoi,gated,open,gated_share
Dongguan,6180,1605,4575,0.2597
Foshan,4832,2425,2407,0.5019
Guangzhou,8158,3960,4198,0.4854
Huizhou,2602,1376,1226,0.5288
Jiangmen,1579,856,723,0.5421
Shenzhen,8414,3818,4596,0.4538
Zhaoqing,1301,709,592,0.5450
Zhongshan,2682,1418,1264,0.5287
Zhuhai,1696,1167,529,0.6881
